file,datetime,anomaly_score,species
fl_gaia_zoo_congo_15aug25_data\102\er_file_2025_08_10_04_25_49.500000.wav,2025-08-10 04:25:49,-0.10099343255714593,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\102\er_file_2025_08_10_04_25_49.500000.wav,2025-08-10 04:25:49,-0.10099343255714593,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\102\er_file_2025_08_10_04_26_22.750000.wav,2025-08-10 04:26:22,-0.012970180888965122,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\102\er_file_2025_08_10_04_26_22.750000.wav,2025-08-10 04:26:22,-0.012970180888965122,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\102\er_file_2025_08_10_04_27_20.250000.wav,2025-08-10 04:27:20,-0.035517824087707095,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\102\er_file_2025_08_10_04_27_20.250000.wav,2025-08-10 04:27:20,-0.035517824087707095,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\102\er_file_2025_08_10_04_27_41.wav,2025-08-10 04:27:41,-0.08057537850681334,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\102\er_file_2025_08_10_04_27_41.wav,2025-08-10 04:27:41,-0.08057537850681334,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\102\er_file_2025_08_10_04_28_05.wav,2025-08-10 04:28:05,-0.10377079230594882,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\102\er_file_2025_08_10_04_28_05.wav,2025-08-10 04:28:05,-0.10377079230594882,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\102\er_file_2025_08_10_04_28_08.500000.wav,2025-08-10 04:28:08,-0.08782730856355425,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\102\er_file_2025_08_10_04_28_08.500000.wav,2025-08-10 04:28:08,-0.08782730856355425,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\102\er_file_2025_08_10_04_28_47.wav,2025-08-10 04:28:47,-0.08919564382832912,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\102\er_file_2025_08_10_04_28_47.wav,2025-08-10 04:28:47,-0.08919564382832912,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\102\er_file_2025_08_10_04_28_49.750000.wav,2025-08-10 04:28:49,-0.08330870628264103,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\102\er_file_2025_08_10_04_28_49.750000.wav,2025-08-10 04:28:49,-0.08330870628264103,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\103\er_file_2025_08_10_04_33_37.250000.wav,2025-08-10 04:33:37,-0.08044764751552236,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\103\er_file_2025_08_10_04_33_37.250000.wav,2025-08-10 04:33:37,-0.08044764751552236,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\103\er_file_2025_08_10_04_38_24.500000.wav,2025-08-10 04:38:24,-0.06816829323961893,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\103\er_file_2025_08_10_04_38_24.500000.wav,2025-08-10 04:38:24,-0.06816829323961893,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\104\er_file_2025_08_10_04_46_38.250000.wav,2025-08-10 04:46:38,-0.03578378341638716,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\104\er_file_2025_08_10_04_46_38.250000.wav,2025-08-10 04:46:38,-0.03578378341638716,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\104\er_file_2025_08_10_04_46_57.250000.wav,2025-08-10 04:46:57,-0.06949066480280186,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\104\er_file_2025_08_10_04_46_57.250000.wav,2025-08-10 04:46:57,-0.06949066480280186,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\105\er_file_2025_08_10_04_53_57.wav,2025-08-10 04:53:57,-0.05482597783905169,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\105\er_file_2025_08_10_04_53_57.wav,2025-08-10 04:53:57,-0.05482597783905169,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\105\er_file_2025_08_10_04_54_17.750000.wav,2025-08-10 04:54:17,-0.07119185496103847,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\105\er_file_2025_08_10_04_54_17.750000.wav,2025-08-10 04:54:17,-0.07119185496103847,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\105\er_file_2025_08_10_05_00_15.750000.wav,2025-08-10 05:00:15,-0.05606700103411294,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\105\er_file_2025_08_10_05_00_15.750000.wav,2025-08-10 05:00:15,-0.05606700103411294,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\105\er_file_2025_08_10_05_01_49.wav,2025-08-10 05:01:49,-0.02346255276510323,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\105\er_file_2025_08_10_05_01_49.wav,2025-08-10 05:01:49,-0.02346255276510323,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\105\er_file_2025_08_10_05_05_04.wav,2025-08-10 05:05:04,-0.03286878885702893,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\105\er_file_2025_08_10_05_05_04.wav,2025-08-10 05:05:04,-0.03286878885702893,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\105\er_file_2025_08_10_05_05_09.750000.wav,2025-08-10 05:05:09,-0.04337351364772718,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\105\er_file_2025_08_10_05_05_09.750000.wav,2025-08-10 05:05:09,-0.04337351364772718,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\106\er_file_2025_08_10_05_08_23.wav,2025-08-10 05:08:23,-0.037264995638394416,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\106\er_file_2025_08_10_05_08_23.wav,2025-08-10 05:08:23,-0.037264995638394416,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\106\er_file_2025_08_10_05_09_52.500000.wav,2025-08-10 05:09:52,-0.0381057984855675,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\106\er_file_2025_08_10_05_09_52.500000.wav,2025-08-10 05:09:52,-0.0381057984855675,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\106\er_file_2025_08_10_05_10_28.250000.wav,2025-08-10 05:10:28,-0.06689076757814766,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\106\er_file_2025_08_10_05_10_28.250000.wav,2025-08-10 05:10:28,-0.06689076757814766,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\106\er_file_2025_08_10_05_10_44.wav,2025-08-10 05:10:44,-0.0656164007369664,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\106\er_file_2025_08_10_05_10_44.wav,2025-08-10 05:10:44,-0.0656164007369664,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\106\er_file_2025_08_10_05_10_58.500000.wav,2025-08-10 05:10:58,-0.049085487297911956,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\106\er_file_2025_08_10_05_10_58.500000.wav,2025-08-10 05:10:58,-0.049085487297911956,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\106\er_file_2025_08_10_05_14_13.wav,2025-08-10 05:14:13,-0.09875618910884804,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\106\er_file_2025_08_10_05_14_13.wav,2025-08-10 05:14:13,-0.09875618910884804,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\107\er_file_2025_08_10_05_21_40.500000.wav,2025-08-10 05:21:40,-0.08217502536653176,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\107\er_file_2025_08_10_05_21_40.500000.wav,2025-08-10 05:21:40,-0.08217502536653176,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\107\er_file_2025_08_10_05_21_43.750000.wav,2025-08-10 05:21:43,-0.07675592472087933,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\107\er_file_2025_08_10_05_21_43.750000.wav,2025-08-10 05:21:43,-0.07675592472087933,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\107\er_file_2025_08_10_05_22_00.250000.wav,2025-08-10 05:22:00,-0.10905946019518958,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\107\er_file_2025_08_10_05_22_00.250000.wav,2025-08-10 05:22:00,-0.10905946019518958,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\107\er_file_2025_08_10_05_23_13.wav,2025-08-10 05:23:13,-0.08427921318663645,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\107\er_file_2025_08_10_05_23_13.wav,2025-08-10 05:23:13,-0.08427921318663645,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\108\er_file_2025_08_10_05_30_11.250000.wav,2025-08-10 05:30:11,0.03308816884841065,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\108\er_file_2025_08_10_05_30_11.250000.wav,2025-08-10 05:30:11,0.03308816884841065,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\109\er_file_2025_08_10_05_33_19.500000.wav,2025-08-10 05:33:19,0.058858832334394096,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\109\er_file_2025_08_10_05_33_19.500000.wav,2025-08-10 05:33:19,0.058858832334394096,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\109\er_file_2025_08_10_05_35_02.750000.wav,2025-08-10 05:35:02,-0.05820644668260044,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\109\er_file_2025_08_10_05_35_02.750000.wav,2025-08-10 05:35:02,-0.05820644668260044,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\109\er_file_2025_08_10_05_36_12.750000.wav,2025-08-10 05:36:12,-0.06013432261331009,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\109\er_file_2025_08_10_05_36_12.750000.wav,2025-08-10 05:36:12,-0.06013432261331009,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\109\er_file_2025_08_10_05_36_22.750000.wav,2025-08-10 05:36:22,-0.007112092993083241,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\109\er_file_2025_08_10_05_36_22.750000.wav,2025-08-10 05:36:22,-0.007112092993083241,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\109\er_file_2025_08_10_05_37_48.wav,2025-08-10 05:37:48,0.004581306085222392,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\109\er_file_2025_08_10_05_37_48.wav,2025-08-10 05:37:48,0.004581306085222392,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\11\er_file_2025_08_08_14_26_22.750000.wav,2025-08-08 14:26:22,0.019300488698184515,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\11\er_file_2025_08_08_14_26_22.750000.wav,2025-08-08 14:26:22,0.019300488698184515,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\110\er_file_2025_08_10_05_42_08.wav,2025-08-10 05:42:08,-0.07168908732737611,ploceus melanocephalus
fl_gaia_zoo_congo_15aug25_data\110\er_file_2025_08_10_05_42_08.wav,2025-08-10 05:42:08,-0.07168908732737611,ploceus melanocephalus
